commit_id,project,buggy,fix,date
d553436b9a60aa4b8f8b51282aab72a5468652f5,apache/camel,False,False,1276609662
825664bdff122357c026d11738b7cfcbd65d98ef,apache/groovy,False,False,1270345600
ea3db0067139c89d59f53e085e8e091db250a1d4,apache/camel,False,False,1268032795
dbe63209b3b3c14ebb24cbc4ca24f84b97176067,apache/camel,False,False,1266944402
ebc3e5d86d019c647571df0b4c0ee84c0317ab40,apache/camel,False,False,1268988976
9ad652e9baf6051431693279a65cff2186e504fd,apache/hbase,False,False,1272668782
a8c5b1f9295d62183a68f312d92cf7ff09ae3268,apache/hadoop-mapreduce,False,False,1282338900
47ba4c26b3e00a8d23ea56ba521a08501aaeebf4,apache/camel,False,False,1280836844
80b38a41412668ee4c460ddd840369833f6babbd,apache/groovy,False,False,1276198838
22618e8d96ef8e1c0f6bd27da7b58f96a40ba77d,apache/hadoop-mapreduce,False,False,1273095344
15c25617c09d136fe8434ebcbe47d40de45b331b,apache/groovy,False,False,1275311594
0633e78b3752d5f5d46c5c858a5bd549f137880a,apache/camel,False,False,1285709100
5bf3696c81dd8f2f542cf3dd9ed588c24f095df4,apache/activemq,False,False,1284545257
8914af60735c4037b5bf4b2c31b5070de392094e,apache/camel,False,False,1263459724
e4da1bc986d9a911c8e351431aa5756d377cc2d6,apache/camel,False,False,1275397521
c909e965c731d96c91798aa81ace97dbba9e6f1d,apache/activemq,False,False,1273756249
3336a22ff9ac1175d3bd688ef3438f5bb5ec964c,apache/activemq,False,False,1270201515
d9145485593e8cc23327a7ad0c6692b4ca4369ce,apache/activemq,False,False,1268942533
301ab9891a16b8152c9ecdd4f9223d3f7a96e4e9,apache/cassandra,False,False,1277433066
fa6d939a2e0af8c6dc05bf76a46bf49cab51e494,apache/activemq,False,False,1290681256
514ef7de46556cadb2535420673de310f804c7af,apache/activemq,False,False,1287775878
cee683f84c087dd8239078aaadaa5477193a44f0,apache/activemq,False,False,1278870711
dc0a8497e9073732de2d70fea437eb96a0bbd735,apache/hadoop-mapreduce,False,False,1289417968
3a43e5930baa4f1ad97a45fff3c7a1800fc11649,apache/hadoop,False,False,1290659777
f3798a09dc99262d7c26556a4caae95787b3a1a7,apache/cassandra,False,False,1283883148
2218de1bc60bb0ac4120264a19feb5caad1fd634,apache/camel,False,False,1272345568
e35519f3a116231e3e88452e2c0752609c3cf931,apache/activemq,False,False,1292610793
fdd196c7e71fb6ebe299ccdaf2a7acd6910b26fc,apache/groovy,False,False,1268294299
49301bd34ad3429a66945c2eda6f11ba74f46e8e,apache/hadoop-hdfs,False,False,1288370206
e87951832bfb55dd65c32f3f64f1c953f9fb5c25,apache/groovy,False,False,1277984700
1f469a99fd37d9eabc5ea2e774a8aa4d6d5ae171,apache/camel,False,False,1271470812
d8b11896abd57bee97d2c018818bb2c229d40a3d,apache/activemq,False,False,1289397233
