commit_id,project,buggy,fix,date,strata
06a456ec1670fb26a86f8a18f5b55017ac961f39,apache/groovy,True,False,1064916954,0
764ab7a732a72c0585966fcbb62c2b30466738c9,apache/groovy,False,False,1065630251,0
fba894477f251afdf61f71af08d525e42718afee,apache/groovy,False,False,1070898872,0
24a4e257ab191187b875800959dd532950d5edbd,apache/groovy,False,False,1071221577,0
3144c0e9c7b76f1df693f16e982b1da451c42c2c,apache/groovy,False,False,1064471000,0
698df9f5b0816e05bbf97a390428f8ef94e0cdbf,apache/groovy,False,False,1063313516,0
653d75403391eb8662f9a25f82d2df1759413075,apache/groovy,False,False,1072802804,0
22a8586051d2839b6513a3663427ea6b9f3a4767,apache/groovy,False,False,1069393576,0
8169b159895f5f727287f6dff351e61569d03f48,apache/groovy,False,False,1063292137,0
879a38f37f8ed32b5e7ac61ff0cd383c2ead32c5,apache/groovy,False,False,1070577555,0
44df07fcba99d7d219ef8381c6c7b7342e9ed319,apache/groovy,True,False,1065080750,0
b8393d4b46f4311ba83430c142ed103e5bd6219e,apache/groovy,True,False,1067590913,0
a33d645f00add6f8a5d8830be164a50f86c5101a,apache/groovy,True,False,1071649553,0
a7ce06e318dd27e1065b1e106d0ad64f790fb3a2,apache/groovy,True,False,1064931199,0
777b7900708442d36bbacd504494855fe1a0e79b,apache/groovy,True,False,1070984950,0
986de73e9f342b5d1ff0366ea9d46593328e6c36,apache/groovy,True,False,1069752779,0
2d670997287093043c7bb38c1857abc0651ca8d1,apache/groovy,False,False,1069888373,0
3ba1012170a4faa0b4ba9ef61cee1525fcbfd61c,apache/groovy,False,False,1067773968,0
48a2a52233d07135908162e23f3f85d970dbbab7,apache/groovy,True,False,1065466025,0
97a05fa1e40ba174a20a2270f8ac9f861dd70ad8,apache/groovy,False,False,1070392402,0
20a38d9b2a87c052a4db498f16fef549e330474c,apache/groovy,False,False,1064513684,0
8725e3e7ddc59020d26741095c32e6a67ebcf49c,apache/groovy,True,False,1070307314,0
c0d7b88427a76246ac539cde0f1afddef503d97e,apache/groovy,True,False,1068874930,0
7038de91ca407b907c8a07c0e0b94e48ae1d4cc3,apache/groovy,True,False,1071153302,0
d5166cb9237df134d018db74429c505e62de596d,apache/groovy,True,False,1067549885,0
a03930c1046a323bc1ade98605c24c7032ae67b2,apache/groovy,True,False,1065720260,0
