commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
001d36c97eac77410f7dd32290d2142abfb19fa0,1392721937,0.0,,12,6,2,2,1,0.3095434291503252,true,1.0,130927.0,14.0,5.0,false,156.0,114295.0,478.0,4.0,1298.0,1541.0,2599.0,834.0,1211.0,1873.0,1087.0,1361.0,2241.0,0.14754542988879848,0.18470301057770544,0.3040412259289395
007a1856dd8b5a781a3abe312a023344995162d6,1347632012,,,12,6,1,1,1,0.0,true,3.0,532526.0,19.0,5.0,false,37.0,22610.0,74.0,2.0,0.0,1014.0,1014.0,0.0,1011.0,1011.0,0.0,827.0,827.0,0.0003979307600477517,0.3294866693195384,0.3294866693195384
00c3fde8f841ae20810a8dc86d57f6231f2eba43,1351806741,,,5,2,2,2,2,0.8631205685666309,true,4.0,660368.0,17.0,9.0,false,8.0,1126884.0,11.0,2.0,0.0,93.0,93.0,0.0,93.0,93.0,0.0,90.0,90.0,0.0038314176245210726,0.3486590038314176,0.3486590038314176
013e3b2b1bd8c82a05062bce186d240ffd42bd42,1386798761,,,39,39,4,4,1,0.8211857243719511,true,1.0,2987055.0,8.0,5.0,false,199.0,49.0,704.0,5.0,74.0,3508.0,3571.0,74.0,2739.0,2802.0,20.0,2457.0,2469.0,0.0030728709394205445,0.3596722270997951,0.3614281533508926
01a977b66958ec1d03964bbe3aaf218ff044232b,1366762267,,,26,3,2,2,1,0.9575534837147482,true,3.0,-6267718.0,21.0,12.0,false,5.0,1558947.0,9.0,2.0,297.0,425.0,636.0,281.0,409.0,605.0,278.0,359.0,556.0,0.30760749724366043,0.3969128996692393,0.6141124586549063
021c1a7192b29f28b1848611846934bad66ff8c8,1372306858,,,77,0,2,2,1,0.97933992595678,true,5.0,1422122.0,24.0,5.0,false,10.0,49126.0,19.0,1.0,112.0,1307.0,1408.0,112.0,1217.0,1318.0,24.0,1226.0,1239.0,0.004952456418383518,0.2430665610142631,0.2456418383518225
0239429c193f89444a9086d2d2c876cf06ed701b,1380832446,,,13,8,3,3,1,0.72483409150576,true,14.0,722453.0,45.0,9.0,false,37.0,833792.0,156.0,3.0,824.0,3154.0,3624.0,809.0,2515.0,2974.0,805.0,2140.0,2594.0,0.12997903563941302,0.3452668924367038,0.41848089017900336
02619bfd207d0d4f7e404203b539a20b3598cd80,1381791651,,,2,33,2,2,1,0.8631205685666309,true,4.0,1178861.0,20.0,5.0,false,24.0,1729957.5,41.0,3.0,1705.0,2425.0,3587.0,1472.0,2282.0,3219.0,1609.0,1576.0,2658.0,0.25478714986548506,0.2495648045576832,0.4207944294983384
026846c7b5a9f985a9218725a5ad4ed391a2aef0,1349297345,,,2,1,1,1,1,0.0,false,,,,,true,,,,,,,,,,,,,,,,
026ba19aac853ff6265da6ca3e48c3cfc6fa3568,1377101763,1.0,,9,3,3,2,1,0.9358932809493992,true,4.0,1350441.0,26.0,9.0,false,130.0,316521.66666666674,431.0,2.0,8.0,528.0,530.0,8.0,528.0,530.0,7.0,514.0,515.0,0.001384083044982699,0.08910034602076125,0.08927335640138408
02e19529b1b9b4b98293cd7eb15da1dffd1f7ac4,1354501523,,,17,13,1,1,1,0.0,true,3.0,95047.0,19.0,7.0,false,1.0,2772294.0,1.0,3.0,1.0,298.0,298.0,1.0,298.0,298.0,1.0,211.0,211.0,0.008333333333333333,0.8833333333333333,0.8833333333333333
02f4b1b9f674a074a91c30585a190e3e5ed85c7a,1354722677,,,4,2,1,1,1,0.0,true,2.0,23019.0,11.0,3.0,false,12.0,455409.0,25.0,2.0,622.0,1615.0,2000.0,621.0,1516.0,1901.0,558.0,1311.0,1662.0,0.1780821917808219,0.4179675055750239,0.5297865562280981
03500414cf463905a28ea30d069630dcfda1d90b,1393455616,,1.0,315,181,7,5,1,0.4713532411051475,true,10.0,5525873.0,161.0,26.0,false,32.0,1144333.2857142857,47.0,2.0,10.0,135.0,141.0,10.0,135.0,141.0,7.0,122.0,125.0,0.009184845005740528,0.14121699196326062,0.1446613088404133
0357b01c12eb6b84b5038bbf465fd3b9d4921a29,1368110678,,,80,18,7,5,1,0.8384932971096185,true,9.0,1649378.0,43.0,11.0,false,121.0,848285.0,586.0,2.0,50.0,618.0,653.0,45.0,618.0,648.0,45.0,592.0,623.0,0.010242707637497215,0.13204186150077935,0.13894455577822312
0384aa5416dedc61b661a347e625c827aa6f94a2,1332888880,,,54,7,2,2,1,0.8751957887407249,true,3.0,347679.0,12.0,7.0,false,37.0,179711.0,91.0,4.0,482.0,752.0,752.0,482.0,752.0,752.0,473.0,722.0,722.0,0.3859934853420196,0.5887622149837134,0.5887622149837134
042d15a314de2406a5a34b83c8cee14e3238944a,1372339145,1.0,,183,331,8,4,2,0.602674968194485,true,5.0,644512.0,24.0,11.0,false,1.0,121494.72727272726,1.0,3.0,185.0,1082.0,1243.0,154.0,1053.0,1183.0,0.0,25.0,25.0,0.03225806451612903,0.8387096774193549,0.8387096774193549
043bfb77f4d61f933771ed64464450f11bcf11c8,1372715915,,,28,2,2,2,2,0.6500224216483541,true,3.0,111678.0,10.0,3.0,false,10.0,528120.0,16.0,2.0,134.0,157.0,243.0,104.0,129.0,193.0,132.0,156.0,240.0,0.2481343283582089,0.29291044776119396,0.4496268656716418
0488c10d349d37ac5fa4f23e05b583ae4d6de999,1361409287,,,6,0,1,1,1,0.0,true,1.0,71024.0,6.0,3.0,false,3.0,441871.0,3.0,3.0,819.0,1171.0,1761.0,797.0,1143.0,1713.0,747.0,1090.0,1617.0,0.18960709759188848,0.27655259822560196,0.41013941698352346
05383d1340aecd7192609a9197c249886d844a46,1352472358,0.0,,107,69,10,9,1,0.9108438361270552,true,9.0,-19650646.0,47.0,12.0,false,29.0,108600.6,123.0,2.0,114.0,276.0,342.0,114.0,273.0,339.0,104.0,246.0,306.0,0.2359550561797753,0.5550561797752809,0.6898876404494382
056942ad5c0b379ebad06110b45b72f685b6c03d,1391738160,,1.0,40,55,18,5,2,0.7786353603490755,true,3.0,363323.0,45.0,5.0,false,1.0,971087.1515151516,1.0,3.0,155.0,1265.0,1301.0,154.0,1090.0,1125.0,119.0,614.0,631.0,0.15748031496062992,0.8070866141732284,0.8293963254593176
059b85a2649ee96f33a3802f3a63c5b11a4fb380,1372242990,,,1,1,2,1,1,0.0,true,2.0,698049.0,16.0,7.0,false,76.0,69955.0,346.0,3.0,4.0,1201.0,1201.0,4.0,1172.0,1172.0,3.0,451.0,451.0,0.0007947546195112259,0.08980727200476853,0.08980727200476853
060c58ea65cfc5224e6e93059dda682e5e7ce806,1340667730,,,1,2,2,2,1,0.9182958340544896,true,1.0,1465.0,5.0,2.0,false,31.0,3173.0,101.0,2.0,363.0,812.0,1051.0,363.0,812.0,1051.0,352.0,769.0,999.0,0.20416425679583572,0.4453441295546559,0.578368999421631
0624b7aab0c0fe4869111ad8e302151548d6ba20,1337172286,,,9,3,1,1,1,0.0,true,2.0,39441.0,9.0,6.0,false,12.0,5213.0,19.0,4.0,90.0,728.0,757.0,90.0,728.0,757.0,79.0,693.0,715.0,0.05284015852047557,0.4583883751651255,0.4729194187582562
064fefb810eab07d4ddde3dd50537a6236567423,1359994878,,,123,0,4,2,1,0.5870510638717047,true,33.0,15490531.0,130.0,40.0,false,99.0,593342.75,501.0,2.0,7.0,1401.0,1405.0,7.0,1250.0,1254.0,7.0,1214.0,1218.0,0.002131060202450719,0.32365476824720296,0.3247202983484284
073f629d7878078f6294de3771f23b85d72d0286,1323634456,,,6,5,4,1,1,0.9681300137657636,true,3.0,87247.0,13.0,6.0,false,5.0,873030.5,8.0,2.0,45.0,117.0,156.0,45.0,117.0,156.0,15.0,98.0,107.0,0.04624277456647399,0.2861271676300578,0.31213872832369943
07568f68e6dfe652d6063c696b9be96447a9c992,1370336708,,,47,35,1,1,1,0.0,true,12.0,2383515.0,55.0,14.0,false,111.0,46967.0,398.0,4.0,2.0,2035.0,2036.0,2.0,1924.0,1925.0,2.0,1872.0,1873.0,0.0006341154090044388,0.3958993870217713,0.3961107588247728
