,prob,pred,actual,test_commit
0,0.8266666666666667,1,1,0005467e3f5211378c2932f0ebc9b5b2c73d565a
1,0.43,0,0,000775ffae617e61ee57901d26c8dfb607809ab6
2,0.73,1,0,00095a2ef9442e3fd86c04876c9d91f2f8b23ad8
3,0.5966666666666667,1,1,000a84cb4afce33e6d6601f65955f2de9924cf8a
4,0.15666666666666668,0,0,0010cc2af4c2823a4d3bc3e4f379a063d4a60c27
5,0.08,0,0,001a5bcbd32d839bb39b7a1ffd52156d55495b85
6,0.74,1,0,001c621c773db837b4c90bbf7868c94f284247ce
7,0.6533333333333333,1,1,0020e417cfaf36da513c2063dc081514498a1597
8,0.84,1,1,00284fb8131ecb064a08a2da010d27ae95806744
9,0.09333333333333334,0,0,002dcc4ebf79bbaa5e603565640d8289991d781f
10,0.81,1,1,00374c3ddf6c4ecc96f58c6685fd107500b976cd
11,0.82,1,1,0058d3f896f159a2d809eed91fb338209b2c06a4
12,0.8066666666666666,1,1,005b2c9a78a357d76d9396b379825d3c033dfac7
13,0.16,0,0,005bd727589eb4a670afbe620df63d47bd59f952
14,0.8733333333333333,1,1,0093bcbe771f296baf3857ef15fe7ec9b22bbc34
15,0.17333333333333334,0,0,00bbd8eae84a0b37d585b5b384729bf7b3440a66
16,0.2866666666666667,0,0,00c5ffaee2fb16eaef512a47054c7b9ee7ea2e50
17,0.29333333333333333,0,0,00dd843a1a6c9d8b616631cdcf24c00e82498dab
18,0.07666666666666666,0,0,00de7bd89f6ac2ffe9e8dd57944a616f0ddefc0e
19,0.79,1,1,00e0baae8664cf06dbba88542af102c764fb7730
20,0.87,1,1,00e4dc0b13b86bfb72fa1b888554b19660685d44
21,0.6366666666666667,1,0,00e54aae24d88ac9c2b84db5ea1eaf11c3e5d73c
22,0.043333333333333335,0,0,00e5a3d508eb41944ce01c6cc96ae18cb16dad8c
23,0.8933333333333333,1,1,00e935d33cd852cdc2a460f24ca0f0136ac5c59e
24,0.91,1,1,00eceed233d6e80d5c7137bf5b5286746ec4d5fb
25,0.36,0,0,00f88773239b96e256c585fae98d846e2b65b4a4
26,0.8366666666666667,1,1,00fe8a01192a523544d3868360a924863a69d8f8
27,0.22,0,0,0108e57309a9ef5bc2131750c1cdf510dbd9b8b6
28,0.7733333333333333,1,1,010a29dab4c76fd34efb4a9780f0a430ff9829e7
29,0.6966666666666667,1,0,0110400dbb637e19755c39e21a3cfd74e777b872
30,0.24666666666666667,0,0,0113ee2b33e3f86bb6a3de2ecf60d8e7bf554be2
31,0.06333333333333334,0,0,012723fc53482384b20172dbc8ee28149d0b9095
32,0.9266666666666666,1,1,012e6118ad3de2bfaadd46c76f25bf9d4ad9a9d1
33,0.8266666666666667,1,1,014023453ac8c3bbdb5f9636a2b3d843de91d2f6
34,0.006666666666666667,0,0,01422c28693258734eb065e4e67191fb1e98c414
35,0.74,1,0,01451a57de3e352c0f995f90a471f9ad59cc7393
36,0.6566666666666666,1,0,015e224b3d3c8e7bc412686ff22d5e99324b1019
37,0.04666666666666667,0,0,017fc1b48ea7143ddbc6dc7c0504b8ac2cda80e6
38,0.77,1,0,019836b113577e9f8ec7c7a6c0d31bc0016f9395
39,0.57,1,1,01a2869363d45c7692f3984f31ab8c7a50d117fc
40,0.43333333333333335,0,0,01a7f9ed357934837225a0121112abe4af413304
41,0.6233333333333333,1,1,01adb69e1a43b81d545abfea25393d5fab8f86a7
42,0.7466666666666667,1,1,01bd6ab18fa48f4c7cac1497905b52e547962599
43,0.25,0,0,01c45aad5b19c29e810eb6373d53019d1f7d220d
44,0.05333333333333334,0,0,01cb958af44b2376bcf579cc65d90566530f733d
45,0.8833333333333333,1,1,01cf808ee863f4b0f429f20ba05fd2e322842e48
46,0.68,1,1,01eddce01f94887d5f15d32d8050e8a526599fcc
47,0.7766666666666666,1,1,01f0e9e501a0cd3a8513c801c816e33404031583
48,0.8433333333333334,1,1,01f0f0af28ea05921868171c88448e299766e773
