commit_id,project,buggy,fix,date,strata
7038de91ca407b907c8a07c0e0b94e48ae1d4cc3,apache/groovy,True,False,1071153302,0
c0d7b88427a76246ac539cde0f1afddef503d97e,apache/groovy,True,False,1068874930,0
1c86825f8baeb9c34c433c059340a6fb70b0576e,apache/groovy,False,False,1065390693,0
009a7bd4de6fac2a90bea208507903a0dfcdc602,apache/groovy,True,False,1065397758,0
cd84934930f011c6787c0cf52be437db18d88656,apache/groovy,False,False,1063956500,0
06a456ec1670fb26a86f8a18f5b55017ac961f39,apache/groovy,True,False,1064916954,0
5d0abaebf0bd4b5d98f9ef173f23b3be5e6fb37f,apache/groovy,True,False,1070542250,0
e38d71166fc8cd7ebb7217fd4b7d7465a10b6d7c,apache/groovy,False,False,1064335025,0
c8d36fce6c447b6a861d929e6fd222bd621f532c,apache/groovy,False,False,1063908331,0
986de73e9f342b5d1ff0366ea9d46593328e6c36,apache/groovy,True,False,1069752779,0
6ffeb5b3727c94e7ce6338be1a38b06344db9843,apache/groovy,True,False,1067476255,0
a6ee72a353768d98a43c2f0bd3ac3b1546414b91,apache/groovy,False,False,1063298927,0
b8393d4b46f4311ba83430c142ed103e5bd6219e,apache/groovy,True,False,1067590913,0
023aa2533a70affe651db101569787db25a451ad,apache/groovy,False,False,1069208222,0
44df07fcba99d7d219ef8381c6c7b7342e9ed319,apache/groovy,True,False,1065080750,0
8725e3e7ddc59020d26741095c32e6a67ebcf49c,apache/groovy,True,False,1070307314,0
a33d645f00add6f8a5d8830be164a50f86c5101a,apache/groovy,True,False,1071649553,0
76636a8b0f9ffc07cbb5dc758ed30d413a084c76,apache/groovy,False,False,1063363952,0
d5166cb9237df134d018db74429c505e62de596d,apache/groovy,True,False,1067549885,0
44ef41e36b833081ab4a689170a4871ccabe7aaa,apache/groovy,False,False,1063458613,0
a7ce06e318dd27e1065b1e106d0ad64f790fb3a2,apache/groovy,True,False,1064931199,0
34d9b8096cbc92714295ce6c681bc8082934a399,apache/groovy,False,False,1063431379,0
1f4ae8eb982a34d2c8d90ddb843d754db20b531d,apache/groovy,False,False,1065560712,0
3ba1012170a4faa0b4ba9ef61cee1525fcbfd61c,apache/groovy,False,False,1067773968,0
c19b715babd13b7d78bc8acfce63dc9bf4be5a9c,apache/groovy,False,False,1067474818,0
b6616e5fb6d537229d307cf8647ef483468175a6,apache/groovy,True,False,1072694298,0
777b7900708442d36bbacd504494855fe1a0e79b,apache/groovy,True,False,1070984950,0
0da929c9aa440ce863d1517f306f2d0a3ccffc44,apache/groovy,False,False,1069238599,0
488bd06ca39a9b38166b173c14779eea761a9c8b,apache/groovy,False,False,1064235999,0
a03930c1046a323bc1ade98605c24c7032ae67b2,apache/groovy,True,False,1065720260,0
48a2a52233d07135908162e23f3f85d970dbbab7,apache/groovy,True,False,1065466025,0
ed476106caa2c9c966621e13a5b8b38a89b4c0e9,apache/groovy,False,False,1073561752,1
10ec0e0f1e8af7afe863a15f790fb871620de641,apache/groovy,False,False,1078304447,1
e7b1ed119681f0f70b190c88032e08cb8a61e0f9,apache/groovy,False,False,1081385300,1
28e06fb046af95087a42a92310b130ee5486b354,apache/groovy,False,False,1080052771,1
e010b85525de1c3abfad3a8fc6236e8366f85266,apache/groovy,True,False,1084209587,1
d41fcf247fa2bf2ce98e7adaaabbc92e51fa0452,apache/groovy,True,False,1102456380,1
f4f7c2f41730274024cc5782bda029f5647162ad,apache/groovy,True,False,1075408747,1
