commit_id,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
0f2d8d4d7c83829a1e78150cbe946068080f9631,982265145,9,9,8,8,1,2.94770277922009,0.0,0.0,0.0,0,0.0,0.0
78b45ee909994eef9fbdeba59bb91d9fc955272b,1281064002,9,0,5,3,3,0.0,0.0,0.0,0.0,0,0.0,0.0
80715f835259bae33974f532a992c92696313b1b,1281567274,117,0,3,3,2,1.0262157040306898,0.0,0.0,0.0,0,0.0,0.0
545efb517a67c1e63220379cb266a216e1084388,1281575876,124,7,4,2,1,1.4968008808550302,0.25,0.0,0.5,1,1.0,1.0
e765b236a952d0cfc983efd002e020e12618d058,1282624377,17,1,2,2,2,0.5032583347756461,1.0,15.0,1.0,2,2.0,0.75
7035db08fa8f07f52ee7329bc3e436081b4e0fd0,1285360591,444,4,4,2,1,1.42723625895616,0.25,29.25,1.5,1,1.0,0.0
acd7cf916dba337713311c36a014ceac547f6c1f,1285485474,0,0,9,5,3,0.0,0.111111111111111,11.333333333333302,0.222222222222222,0,0.0,0.0
3d69f40135977b0e21a6e32f5e906c6b20ff4f2b,1285485934,973,0,6,4,3,1.9940156477105304,0.0,0.0,0.0,1,1.0,0.0
2d922a5e5cd2764d8603a464c141d8156e6667af,1285627384,2,1,9,8,7,0.91829583405449,0.33333333333333304,0.444444444444444,0.33333333333333304,3,3.0,0.14285714285714302
41da7c03643dbef472a0ea033d38ac38e9d2b45e,1285693141,1203,0,10,3,1,2.9478572910911,0.0,0.0,0.0,2,2.0,0.0
d1b108a6533790de015c4f801cb0d11dab034656,1285705110,104,24,5,2,2,1.76882990297553,0.0,0.0,0.0,0,0.0,0.0
ff52b2cdb1447f8d5a0257eac6a9fce491508456,1285706046,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,0.0
5f43ca1a535f4d7640dc8eece8590ae9f99436d2,1285707842,6,9,4,2,2,1.9329145639794,0.25,0.0,0.5,2,2.0,0.5
ecbed9f2291279101a7e22a7e284a9511c559139,1285719611,319,16,7,4,3,2.06811389629055,0.14285714285714302,0.0,0.14285714285714302,3,3.0,0.37037037037037
abaf040e3b7f9fd0b2909d51eb8a4fce09909a82,1285736067,132,35,6,5,3,2.35973774103033,0.166666666666667,0.0,0.833333333333333,4,4.0,0.3950617283950621
4960fb60e4f60054678f03541923adcf7f1133fc,1285737243,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5.0,0.0
61b1951dc757c3ff5e26342b4cd99fcea017db82,1285777372,3,2,1,1,1,0.0,1.0,0.0,1.0,4,4.0,1.0
d8277674e9c1d90aa96a0a1595c8cb8af2e0ecf1,1285777555,29,4,3,2,1,1.18203209429095,0.0,0.0,0.0,6,6.0,0.0
ce92e8132d539d40599b3b5daa0f88db3fb91456,1285778957,18,0,1,1,1,0.0,1.0,0.0,1.0,8,8.0,1.0
a9cd0bc4ea408ad5b72b41cdfd74dd85ec503650,1285793481,43,50,6,4,2,2.43193167404708,0.166666666666667,0.0,0.666666666666667,9,9.0,0.041015625
