dot_file,source_file,label,node_id,token,type
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,0,EMPTY_TOKEN,CompilationUnit
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,1,EMPTY_TOKEN,TypeDeclaration
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,2,public,Modifier
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,3,helloworld,SimpleName
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,4,EMPTY_TOKEN,MethodDeclaration
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,5,public,Modifier
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,6,static,Modifier
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,7,void,PrimitiveType
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,8,main,SimpleName
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,9,EMPTY_TOKEN,SingleVariableDeclaration
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,11,string,ArrayType
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,13,string,SimpleType
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,15,string,SimpleName
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,14,EMPTY_TOKEN,Dimension
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,12,args,SimpleName
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,10,EMPTY_TOKEN,Block
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,16,EMPTY_TOKEN,ExpressionStatement
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,17,EMPTY_TOKEN,MethodInvocation
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,18,systemout,QualifiedName
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,19,println,SimpleName
ast_0.dot,../ast/code/ex.java,___ast_code_ex_java,20,helloworld,StringLiteral
